song,artist
Water,Tyla
Pretty Little Poison,Warren Zeiders
What You Won'T Do For Love,Bobby Caldwell
Saturn,Sza
Take It All Back,"Tauren Wells, We The Kingdom & Davies"
Burn It Down,Parker Mccollum
Redrum,21 Savage
Training Season,Dua Lipa
Three Little Birds (Bob Marley: One Love - Music Inspired By The Film),Kacey Musgraves
Texas Hold 'Em,Beyonce
Beautiful Things,Benson Boone
Newwe Can'T Be Friends (Wait For Your Love),Ariana Grande
End Of Beginning,Djo
Lose Control,Teddy Swims
Yes And,Ariana Grande
Stick Season,Noah Kahan
Carnival,Kanye West/Ty Dolla Sign
Training Season,Dua Lipa
Cruel Summer,Taylor Swift
Praise Jah In The Moonlight,Yg Marley
Alibi,Ella Henderson Ft Rudimental
Newbye,Ariana Grande
Scared To Start,Michael Marcagi
Unwritten,Natasha Bedingfield
What Was I Made For,Billie Eilish
Whatever She Wants,Bryson Tiller
Newact Ii - Date At 8,4Batz Ft Drake
Lovers In A Past Life,Calvin Harris & Rag'N'Bone Man
Whatever,Kygo & Ava Max
Escapism,Raye Ft 070 Shake
Kitchen Stove,Pozer
Saturn,Sza
Redrum,21 Savage
Austin,Dasha
Greedy,Tate Mcrae
Prada,Casso/Raye/D-Block Europe
Exes,Tate Mcrae
Home,Good Neighbours
Murder On The Dancefloor,Sophie Ellis-Bextor
Nothing Matters,Last Dinner Party
Never Be Alone,Becky Hill & Sonny Fodera
Homesick,Noah Kahan & Sam Fender
Worth It,Raye
Grey,Yung Filly
Lovin On Me,Jack Harlow
Evergreen,Richy Mitch & The Coal Miners
Lil Boo Thang,Paul Russell
Von Dutch,Charli Xcx
One Of The Girls,Weeknd/Jennie/Lily Rose Depp
Fein,Travis Scott Ft Playboi Carti
Birds In The Sky,Newera
Reback On 74,Jungle
Made For Me,Muni Long
Houdini,Dua Lipa
Strangers,Kenya Grace
Burn,Kanye West/Ty Dolla Sign
Angel Numbers/Ten Toes,Chris Brown
Vampire,Olivia Rodrigo
Selfish,Justin Timberlake
Water,Tyla
I Will,Central Cee
Make You Mine,Madison Beer
Green & Gold,Rudimental/Skepsis/Plank/Riko
I Remember Everything,Zach Bryan Ft Kacey Musgraves
Coal,Dylan Gossett
Baby Shark,Pinkfong
Flowers,Miley Cyrus
One Call,Rich Amiri
Would You (Go To Bed With Me),Campbell & Alcemist
Happier,Blessed Madonna/Douglas
Soaked,Shy Smith
Mr Brightside,Killers
Wasted Youth,Goddard & Cat Burns
Anti-Hero,Taylor Swift
We Ain'T Here For Long,Nathan Dawe
Dna (Loving You),Billy Gillies Ft Hannah Boleyn
Thank You (Not So Bad),Dimitri Vegas & Like Mike
Could You Be Loved,Bob Marley & The Wailers
Newuh Uh,Clavish/Fredo
If U Think I'M Pretty,Artemas
Never Lose Me,Flo Milli
Disconnect,Becky Hill/Chase & Status
Leavemealone,Fred Again & Baby Keem
My Love Mine All Mine,Mitski
Everywhere,Fleetwood Mac
Someone You Loved,Lewis Capaldi
Asking,Sonny Fodera/Mk/Douglas
Forever,Noah Kahan
Ophelia,Lumineers
Newi Miss You I'M Sorry,Gracie Abrams
Dance The Night (From Barbie The Album),Dua Lipa
Baddadan,Chase & Status/Bou/Flowdan
Popular,Weeknd/Playboi Carti/Madonna
Before You Leave Me,Alex Warren
Newnever Be Lonely,Jax Jones/Zoe Wees
My Eyes,Travis Scott
Reiris,Goo Goo Dolls
Three Little Birds,Bob Marley & The Wailers
Doctor (Work It Out),Pharrell Williams/Miley Cyrus
Cuban Links,Skrapz/Nines/D-Block Europe
Overcompensate,Twenty One Pilots
Breathe,Yeat
On My Love,Zara Larsson & David Guetta
Sprinter,Dave & Central Cee
Newlighter,Galantis/Guetta/5 Seconds Of
Incredible Sauce,Giggs Ft Dave
Rich Baby Daddy,Drake Ft Sexyy Red & Sza
Redreams,Fleetwood Mac
Reriptide,Vance Joy
